label,horizon_months,base_fy,n,base_rate
ceiling_growth_gt10,12,2010,19065,0.16165748754261736
ceiling_growth_gt10,12,2011,16338,0.1536907822254866
ceiling_growth_gt10,12,2012,16998,0.13536886692552064
ceiling_growth_gt10,12,2013,14436,0.1298836242726517
ceiling_growth_gt10,12,2014,14335,0.1295430763864667
ceiling_growth_gt10,12,2015,13779,0.13585891574134554
ceiling_growth_gt10,12,2016,14418,0.12983770287141075
ceiling_growth_gt10,12,2017,13864,0.05301500288517023
ceiling_growth_gt10,12,2019,14617,0.11944995553123076
ceiling_growth_gt10,12,2020,14634,0.13530135301353013
ceiling_growth_gt10,12,2021,12527,0.11702722120220324
ceiling_growth_gt10,12,ALL,165011,0.12906412299786074
ceiling_growth_gt25,12,2010,19065,0.0995017046944663
ceiling_growth_gt25,12,2011,16338,0.09921655037336272
ceiling_growth_gt25,12,2012,16998,0.0860101188375103
ceiling_growth_gt25,12,2013,14436,0.08458021612635079
ceiling_growth_gt25,12,2014,14335,0.08357167771189397
ceiling_growth_gt25,12,2015,13779,0.08607300965236955
ceiling_growth_gt25,12,2016,14418,0.08218893050353725
ceiling_growth_gt25,12,2017,13864,0.034045008655510675
ceiling_growth_gt25,12,2019,14617,0.07210781966203736
ceiling_growth_gt25,12,2020,14634,0.08917589175891759
ceiling_growth_gt25,12,2021,12527,0.07312205635826614
ceiling_growth_gt25,12,ALL,165011,0.08191575107114071
ceiling_growth_gt50,12,2010,19065,0.06865984788880147
ceiling_growth_gt50,12,2011,16338,0.06634839025584527
ceiling_growth_gt50,12,2012,16998,0.05953641604894693
ceiling_growth_gt50,12,2013,14436,0.05784150734275423
ceiling_growth_gt50,12,2014,14335,0.056226020230205793
ceiling_growth_gt50,12,2015,13779,0.05602728790187967
ceiling_growth_gt50,12,2016,14418,0.05396032736856707
ceiling_growth_gt50,12,2017,13864,0.022576457010963648
ceiling_growth_gt50,12,2019,14617,0.04871040569200246
ceiling_growth_gt50,12,2020,14634,0.061295612956129564
ceiling_growth_gt50,12,2021,12527,0.05021154306697533
ceiling_growth_gt50,12,ALL,165011,0.05543266812515529
schedule_slip_gt90,12,2010,19065,0.2549173878835563
schedule_slip_gt90,12,2011,16338,0.2579263067694944
